Id,results
1461,125087.01248238831
1462,161938.5536277861
1463,186762.8234549351
1464,201553.2174223211
1465,189121.79002435852
1466,170743.38796528318
1467,171275.62078067797
1468,158698.8078689196
1469,179837.96880723137
1470,123296.16746049421
1471,167692.09329992093
1472,106080.5641849793
1473,98767.14520169928
1474,154976.00564705182
1475,143306.7748786864
1476,382236.9403040757
1477,252733.60779873608
1478,272123.3349403242
1479,291325.6065426403
1480,423745.33271193877
1481,342275.668200911
1482,197976.50699335136
1483,180675.16528644596
1484,164629.87190864206
1485,181822.92789385613
1486,196471.949013735
1487,313061.0245842905
1488,230080.55540064364
1489,202042.46132705294
1490,253607.53982803767
1491,197801.85652026426
1492,99852.6390838757
1493,166904.30540088686
1494,232312.2029453209
1495,279827.0625049633
1496,235661.2734510102
1497,174611.302433289
1498,164435.7640154834
1499,171282.27037004803
1500,164225.42924834052
1501,186773.1538195951
1502,155717.4398913471
1503,169031.50847247275
1504,244475.49367998808
1505,239659.2120604978
1506,201599.09083621617
1507,265531.8433782244
1508,207324.04399211673
1509,168668.21960253606
1510,150347.64149469964
1511,154740.48853855545
1512,170623.68373818972
1513,150407.82192496725
1514,140894.31362178538
1515,188945.15123888451
1516,150229.25399767334
1517,167279.3530672291
1518,124585.00016346808
1519,228538.88896951266
1520,130888.35930750423
1521,133932.94119377382
1522,179490.92464215116
1523,112220.18749480403
1524,120311.12929692311
1525,120667.70518834182
1526,97196.62073053364
1527,99843.23850410298
1528,136355.85377235746
1529,161425.77812723414
1530,189095.5042861088
1531,137100.79283777555
1532,99955.13208390851
1533,153878.0527840191
1534,116407.57280962882
1535,142249.58721668425
1536,104056.56199998043
1537,101420.75806440912
1538,153957.2496093745
1539,162895.29683294633
1540,113442.51107567296
1541,137382.51299511245
1542,142157.28543633415
1543,180375.33024688062
1544,98457.85422369701
1545,122911.34462243092
1546,138699.77461007034
1547,143877.33713523854
1548,136584.13283023966
1549,121320.3042052034
1550,135981.19053268572
1551,103126.98939381696
1552,142535.93540949392
1553,138518.95779918105
1554,117963.30588652285
1555,171886.24953092838
1556,122653.37941189422
1557,129937.2332251351
1558,113164.37827442483
1559,133645.848871112
1560,144502.2540040358
1561,150845.51111430503
1562,131171.879647325
1563,111281.92959450069
1564,152457.6566776139
1565,166441.30081800034
1566,229622.19496145786
1567,74743.90335027572
1568,237590.04251336568
1569,151753.970552814
1570,137113.54117154883
1571,129189.53866522099
1572,149383.4485094711
1573,199659.768308072
1574,123726.91877184401
1575,207272.43131827316
1576,199056.8978190996
1577,182560.903166401
