Id,results
1461,112979.11427191555
1462,155582.943817277
1463,186481.25339995444
1464,196748.33014717864
1465,205173.9209700823
1466,170286.4358795516
1467,172658.53379160867
1468,157388.3817810349
1469,212105.36934143727
1470,115188.12108998236
1471,153800.3433447143
1472,97704.68489015801
1473,94894.8408552811
1474,146674.01083804647
1475,108953.5277543769
1476,375927.936481267
1477,260831.46520822382
1478,310709.54737572954
1479,303091.0120776987
1480,483654.8992186438
1481,309034.51773246634
1482,204418.49718150918
1483,177157.76422773607
1484,161919.64998989765
1485,178417.66976693764
1486,188112.23597201778
1487,333325.0128995697
1488,223761.1326128764
1489,203845.8344091785
1490,257045.32966229346
1491,202176.94008560458
1492,102360.41177966516
1493,187433.22114488625
1494,304051.0262249231
1495,287500.0915038062
1496,242938.63484327847
1497,175207.62540905716
1498,174314.1013742185
1499,162993.15125027884
1500,148962.37698489617
1501,196069.9419737647
1502,132742.9708310182
1503,358463.8334020595
1504,232701.12744263935
1505,224142.48960524032
1506,190775.2506495456
1507,257925.43645917557
1508,194910.05501433465
1509,154611.6399328525
1510,143299.2452733552
1511,159180.75361519985
1512,173863.13816199967
1513,153026.46463946046
1514,166632.42203346782
1515,210518.05280637674
1516,152930.81573294316
1517,186320.75073079232
1518,122919.86993857173
1519,220495.07987575026
1520,118971.79457058039
1521,135318.83078546126
1522,188517.14882988043
1523,113760.89451480357
1524,125383.06979331563
1525,116758.24459196001
1526,106751.82840428827
1527,106333.89998120349
1528,130050.84274525687
1529,158776.31268227616
1530,209020.4370345704
1531,129514.58669416912
1532,85806.96172691719
1533,163157.03274190638
1534,128007.61428292634
1535,150171.2449784249
1536,92977.80996061186
1537,44918.535519813886
1538,153075.93584736556
1539,209043.95346702615
1540,121188.76956384935
1541,139485.10340471545
1542,163787.10935025502
1543,186913.10888346846
1544,74675.53974866052
1545,119541.75899220354
1546,136818.66766644994
1547,135837.97681801047
1548,148884.26967725324
1549,123729.78679459708
1550,140968.81286939353
1551,101467.19504975877
1552,149333.35708835887
1553,153114.64025064305
1554,112041.48133490307
1555,161512.4361399289
1556,52789.268850693945
1557,135291.29910026796
1558,104991.02439514524
1559,58293.45758963865
1560,112789.52458333623
1561,145106.38975004086
1562,130763.55818695787
1563,129446.70251936585
1564,163819.7717503824
1565,157278.15486956554
1566,228048.41098358648
1567,73400.47389739077
1568,221422.53026476063
1569,135569.6854410202
1570,130213.00713729233
1571,85063.00776708336
1572,152443.4423543371
1573,268226.05188904656
1574,136218.92739342505
1575,233370.21552468164
1576,226907.82860895924
1577,181916.01180037696
1578,158627.6500429807
1579,133224.99741998132
1580,189351.87211802255
1581,153098.7756052851
1582,133497.81162144596
1583,279432.73417010414
1584,219839.59546749227
1585,133750.4871069794
1586,70776.31644090079
1587,108551.3786247948
1588,156074.95104702425
1589,106351.05044642999
1590,123585.22825745263
1591,87152.2582560454
1592,130681.30053706586
1593,125951.53456606975
1594,141824.48667028945
1595,114551.8094852127
1596,227714.7693548843
1597,211037.95669680464
1598,213873.85627279457
1599,193582.49899364522
1600,171383.2765455095
1601,53142.90573066077
1602,127687.01608061351
1603,37347.76757647027
1604,271339.9161185499
1605,223508.96115022225
1606,146319.3564547871
1607,169091.68376869362
1608,198953.81109048732
1609,191648.84303571636
1610,154482.60298644568
1611,127766.2063472525
1612,188294.68872520028
1613,165218.64757093022
1614,139499.2137521068
1615,91242.90487505193
1616,67685.0523057722
1617,85657.58672485151
1618,135318.38416180972
1619,146667.50084475547
1620,193814.0958261248
1621,129915.91395650039
1622,151146.28772628706
1623,254662.87465363558
1624,199207.71523570133
1625,115466.78192408485
1626,167123.38260972276
1627,190374.1404643495
1628,273938.74480201944
1629,177591.16934602623
1630,366221.362666292
1631,253340.51195137607
1632,250373.93132260613
1633,171301.5512401332
1634,180937.83027901882
1635,169590.77181067466
1636,144961.93102348814
1637,197657.89456405918
1638,180218.2531109537
1639,182544.52049282528
1640,237268.5296322781
1641,183788.4492445908
1642,251769.00602486273
1643,218584.3111071506
1644,236111.3034910018
1645,216023.09714291999
1646,154847.25129270702
1647,155407.86256430377
1648,127279.69876708635
1649,127587.98479509409
1650,106453.99315291116
1651,111312.30547388628
1652,98457.19226489015
1653,94070.08942921585
1654,143585.02121554138
1655,120478.30865153493
1656,141398.42167702815
1657,153542.4309798282
1658,145192.478035339
1659,128299.74336762945
1660,148781.7788848284
1661,439702.932379875
1662,385808.32636097807
1663,386800.25323389366
1664,529168.1744748125
1665,333506.5271046384
1666,325481.77311883436
1667,376285.9131102263
1668,361071.63629871875
1669,318713.45509446913
1670,362656.73689777765
1671,270567.5960409463
1672,407414.86702666234
1673,289524.9809899166
1674,245367.32045469698
1675,203870.45910385143
1676,207183.2304851742
1677,217617.6599370263
1678,474692.2111658071
1679,388217.9733396176
1680,341665.6771396367
1681,281597.92532539496
1682,320870.5077710495
1683,191898.4405384535
1684,168719.77884125392
1685,169633.5146697516
1686,161271.72526366365
1687,163016.13962470912
1688,180395.64817661405
1689,184932.1345344706
1690,187619.51303130513
1691,175884.72411819999
1692,251767.16335632498
1693,169245.96990810553
1694,180612.09326550816
1695,167875.42106899907
1696,260298.20663937935
1697,176748.80491824713
1698,339918.0503501211
1699,332959.46250448807
1700,273129.06771694205
1701,280434.5278356237
1702,234900.2666701042
1703,227644.16875541708
1704,268608.9885188568
1705,242300.57001779074
1706,192946.41277457573
1707,232585.0355348674
1708,203014.50307746962
1709,245772.745603829
1710,219997.82770361504
1711,266606.394835987
1712,253388.5664123719
1713,281069.2813404995
1714,226927.98569910353
1715,208098.00847827792
1716,186033.18855642885
1717,173370.1287532962
