Id,SalePrice
1461,107000
1462,135000
1463,176500
1464,176000
1465,170000
1466,165600
1467,165600
1468,176000
1469,128500
1470,112000
1471,133000
1472,85400
1473,118000
1474,148500
1475,148500
1476,253293
1477,202500
1478,274900
1479,214000
1480,374000
1481,262280
1482,185850
1483,176000
1484,160200
1485,180000
1486,183500
1487,221000
1488,192000
1489,186500
1490,216000
1491,173000
1492,79000
1493,158000
1494,190000
1495,190000
1496,168500
1497,151000
1498,151000
1499,147400
1500,147400
1501,168500
1502,148800
1503,185000
1504,207500
1505,216000
1506,148000
1507,210000
1508,175000
1509,100000
1510,128900
1511,140000
1512,124500
1513,108000
1514,93500
1515,123000
1516,80000
1517,147000
1518,110000
1519,208500
1520,119000
1521,109008
1522,139950
1523,109000
1524,108000
1525,110000
1526,107500
1527,109008
1528,105000
1529,115000
1530,135000
1531,116900
1532,110000
1533,117500
1534,100000
1535,66500
1536,66500
1537,55000
1538,102000
1539,96500
1540,37900
1541,98300
1542,79500
1543,85500
1544,105000
1545,119500
1546,109000
1547,123000
1548,116900
1549,127500
1550,127500
1551,66500
1552,110000
1553,105900
1554,105900
1555,132000
1556,87000
1557,84500
1558,91000
1559,34900
1560,127500
1561,135000
1562,127000
1563,80000
1564,134500
1565,127000
1566,173000
1567,94000
1568,190000
1569,135000
1570,119000
1571,105000
1572,108000
1573,194000
1574,82500
1575,145000
1576,175900
1577,178000
1578,108000
1579,126000
1580,190000
1581,112500
1582,122000
1583,227000
1584,190000
1585,131500
1586,79900
1587,93500
1588,84900
1589,94750
1590,107000
1591,108000
1592,91000
1593,119000
1594,106500
1595,104900
1596,144900
1597,132000
1598,170000
1599,124000
1600,124000
1601,64500
1602,125500
1603,34900
1604,235000
1605,191000
1606,128950
1607,126000
1608,202900
1609,173900
1610,167500
1611,129500
1612,178000
1613,84500
1614,75000
1615,75000
1616,83500
1617,83500
1618,129500
1619,112000
1620,76500
1621,100000
1622,88000
1623,138000
1624,204750
1625,109008
1626,148000
1627,172400
1628,215000
1629,163900
1630,213500
1631,213500
1632,213500
1633,170000
1634,178000
1635,165600
1636,163900
1637,165600
1638,165000
1639,132000
1640,167900
1641,132000
1642,205950
1643,210000
1644,210000
1645,155000
1646,205000
1647,167900
1648,140000
1649,135000
1650,110000
1651,120500
1652,83000
1653,118000
1654,148500
1655,148500
1656,148500
1657,148500
1658,148500
1659,148500
1660,131400
1661,335000
1662,318000
1663,274900
1664,325000
1665,250000
1666,183900
1667,259000
1668,200000
1669,255500
1670,274900
1671,214000
1672,274900
1673,165400
1674,214000
1675,185850
1676,185850
1677,185850
1678,320000
1679,274900
1680,274000
1681,253293
1682,274900
1683,185850
1684,162000
1685,176000
1686,160200
1687,170000
1688,183500
1689,176000
1690,180000
1691,183200
1692,188500
1693,162000
1694,183200
1695,170000
1696,214000
1697,170000
1698,271000
1699,228000
1700,271000
1701,190000
1702,232000
1703,192000
1704,194500
1705,245000
1706,184750
1707,186500
1708,210000
1709,249700
1710,210000
1711,216000
1712,182000
1713,216000
1714,207500
1715,207500
1716,173000
1717,141000
1718,123600
1719,173000
1720,184900
1721,142500
1722,141000
1723,142500
1724,184900
1725,215000
1726,173000
1727,99500
1728,142500
1729,173000
1730,144000
1731,125500
1732,109008
1733,135000
1734,93500
1735,130500
1736,115000
1737,165000
1738,290000
1739,147400
1740,164500
1741,171900
1742,151000
1743,148800
1744,118000
1745,137000
1746,162500
1747,155000
1748,180000
1749,143000
1750,122000
1751,140000
1752,88000
1753,110000
1754,157000
1755,165000
1756,129000
1757,109008
1758,124500
1759,98300
1760,129000
1761,109000
1762,124500
1763,128500
1764,128900
1765,60000
1766,109008
1767,132000
1768,124500
1769,135000
1770,109008
1771,118500
1772,104900
1773,108000
1774,110000
1775,135000
1776,109008
1777,124500
1778,128900
1779,109900
1780,105000
1781,100000
1782,107900
1783,105900
1784,79900
1785,110000
1786,102000
1787,80000
1788,67000
1789,102000
1790,105900
1791,136000
1792,100000
1793,129000
1794,109000
1795,109008
1796,143000
1797,66500
1798,112500
1799,124500
1800,100000
1801,97500
1802,97500
1803,88000
1804,129500
1805,140000
1806,64500
1807,79000
1808,100000
1809,100000
1810,109000
1811,55000
1812,91300
1813,109000
1814,93500
1815,80000
1816,98000
1817,105900
1818,91300
1819,67000
1820,67000
1821,107900
1822,135000
1823,34900
1824,79000
1825,120000
1826,98000
1827,105900
1828,79000
1829,100000
1830,64500
1831,90000
1832,90000
1833,125500
1834,111000
1835,101000
1836,79000
1837,96500
1838,103000
1839,79900
1840,118858
1841,134500
1842,96500
1843,128500
1844,134900
1845,129500
1846,125500
1847,145250
1848,80000
1849,82500
1850,109008
1851,109008
1852,82500
1853,136500
1854,147000
1855,128500
1856,175900
1857,121500
1858,118858
1859,118858
1860,108959
1861,118858
1862,215000
1863,215000
1864,215000
1865,318000
1866,204000
1867,178000
1868,206000
1869,194500
1870,204000
1871,203000
1872,190000
1873,169000
1874,123600
1875,152000
1876,200500
1877,204000
1878,185000
1879,124500
1880,110000
1881,214000
1882,192500
1883,180000
1884,180000
1885,183900
1886,203000
1887,200000
1888,194500
1889,165400
1890,98300
1891,140000
1892,104900
1893,98300
1894,119000
1895,98300
1896,116900
1897,119900
1898,91000
1899,98000
1900,154900
1901,131000
1902,109008
1903,128000
1904,137000
1905,167000
1906,52000
1907,180000
1908,123000
1909,124000
1910,124000
1911,149000
1912,154000
1913,55000
1914,34900
1915,235000
1916,55993
1917,215000
1918,112000
1919,156000
1920,84500
1921,315500
1922,201000
1923,149000
1924,164500
1925,190000
1926,315000
1927,110000
1928,128500
1929,129000
1930,130000
1931,129500
1932,84500
1933,118000
1934,172400
1935,165600
1936,176000
1937,174000
1938,165600
1939,207500
1940,170000
1941,176500
1942,165600
1943,170000
1944,309000
1945,315000
1946,112500
1947,184750
1948,82500
1949,185000
1950,185000
1951,149900
1952,167900
1953,141000
1954,165000
1955,82500
1956,145000
1957,100000
1958,183900
1959,110000
1960,110000
1961,109008
1962,118000
1963,118000
1964,118000
1965,148500
1966,148500
1967,233170
1968,325000
1969,274000
1970,275000
1971,313000
1972,275000
1973,275000
1974,275000
1975,235000
1976,210000
1977,306000
1978,309000
1979,253293
1980,185850
1981,274000
1982,185850
1983,185850
1984,154000
1985,192000
1986,174000
1987,159895
1988,176000
1989,180000
1990,183500
1991,185850
1992,172400
1993,162000
1994,162000
1995,168000
1996,260000
1997,248000
1998,260400
1999,190000
2000,290000
2001,228000
2002,173000
2003,165400
2004,163990
2005,179900
2006,186500
2007,232000
2008,182000
2009,173000
2010,173000
2011,141000
2012,173000
2013,173000
2014,173000
2015,173000
2016,173000
2017,173000
2018,128200
2019,124500
2020,130500
2021,80000
2022,124500
2023,128200
2024,190000
2025,285000
2026,151000
2027,151000
2028,151000
2029,147400
2030,168500
2031,143000
2032,226000
2033,149300
2034,147400
2035,186500
2036,147400
2037,147400
2038,151000
2039,193000
2040,162500
2041,118000
2042,210000
2043,132500
2044,110000
2045,120500
2046,135000
2047,109008
2048,110000
2049,110000
2050,110000
2051,110000
2052,109000
2053,88000
2054,79500
2055,124500
2056,119000
2057,120000
2058,193500
2059,115000
2060,110000
2061,135000
2062,109008
2063,109008
2064,109008
2065,123000
2066,128950
2067,52000
2068,110000
2069,84000
2070,100000
2071,105900
2072,64500
2073,110000
2074,55000
2075,128500
2076,110000
2077,119000
2078,117500
2079,66500
2080,103200
2081,109000
2082,110000
2083,120000
2084,109000
2085,109500
2086,66500
2087,66500
2088,55000
2089,80000
2090,87000
2091,93000
2092,105900
2093,78000
2094,98000
2095,90000
2096,100000
2097,96500
2098,109000
2099,79000
2100,52000
2101,79000
2102,66500
2103,105900
2104,73000
2105,91300
2106,55000
2107,116900
2108,108500
2109,105900
2110,105000
2111,66500
2112,102000
2113,120000
2114,79500
2115,116900
2116,102000
2117,105900
2118,89000
2119,103200
2120,100000
2121,79900
2122,120000
2123,102000
2124,102000
2125,66500
2126,105900
2127,110000
2128,109500
2129,118500
2130,109900
2131,103000
2132,64500
2133,105900
2134,98000
2135,79900
2136,84500
2137,80000
2138,133000
2139,133500
2140,127000
2141,109900
2142,122000
2143,128200
2144,108959
2145,109000
2146,180000
2147,124000
2148,98300
2149,127000
2150,159000
2151,135000
2152,132000
2153,155000
2154,123600
2155,98600
2156,178000
2157,184900
2158,173000
2159,173000
2160,155835
2161,192000
2162,220000
2163,318000
2164,184900
2165,167000
2166,123600
2167,203000
2168,169500
2169,195000
2170,185900
2171,110000
2172,110000
2173,128000
2174,180000
2175,200000
2176,203000
2177,183000
2178,192500
2179,136500
2180,135960
2181,185000
2182,194500
2183,178000
2184,118500
2185,82500
2186,82500
2187,133500
2188,143500
2189,149900
2190,81000
2191,84000
2192,73000
2193,86000
2194,98300
2195,110000
2196,110000
2197,86000
2198,120000
2199,120000
2200,177500
2201,135000
2202,116000
2203,80000
2204,108000
2205,109500
2206,129900
2207,165000
2208,138000
2209,150000
2210,124000
2211,105900
2212,125500
2213,109000
2214,107500
2215,109900
2216,120000
2217,39300
2218,34900
2219,34900
2220,55993
2221,235000
2222,235000
2223,187100
2224,175000
2225,84500
2226,126000
2227,144000
2228,201000
2229,224500
2230,167500
2231,201000
2232,175000
2233,175000
2234,187500
2235,185000
2236,201000
2237,187500
2238,129500
2239,84500
2240,143000
2241,129500
2242,80000
2243,83500
2244,80000
2245,91000
2246,112000
2247,75000
2248,84500
2249,112000
2250,88000
2251,91000
2252,119000
2253,163900
2254,163900
2255,172400
2256,165600
2257,172400
2258,163900
2259,165600
2260,98600
2261,170000
2262,180000
2263,325000
2264,233230
2265,121500
2266,180000
2267,297000
2268,311872
2269,110000
2270,179900
2271,167900
2272,185000
2273,153500
2274,153500
2275,155000
2276,155000
2277,155000
2278,123000
2279,110000
2280,107900
2281,133000
2282,133000
2283,118000
2284,118000
2285,148500
2286,88000
2287,318000
2288,225000
2289,220000
2290,253293
